HitRate@10,Precision@10,Recall@10,NDCG@10,MRR@10,MAP@10,Coverage@10,UsersWithRecs,UsersEvaluated,Personalization@10,w_Popular,w_SVD,w_TFIDF,w_ContextTFIDF
0.02082804165608331,0.0020828041656083315,0.02082804165608331,0.008502624542979963,0.004780148449185788,0.004780148449185788,0.46121883656509693,3937,3937,0.6175916644163726,0.6000000000000001,0.0,0.4,0.0
0.021082042164084328,0.002108204216408433,0.021082042164084328,0.008094464101451726,0.00427769109506473,0.00427769109506473,0.45637119113573404,3937,3937,0.501254166007673,0.8,0.0,0.0,0.2
0.019304038608077216,0.0019304038608077216,0.019304038608077216,0.008094027632505779,0.004861892263467066,0.004861892263467066,0.41897506925207756,3937,3937,0.7086938187757288,0.4,0.4,0.0,0.2
0.019304038608077216,0.0019304038608077218,0.019304038608077216,0.007834902153848222,0.004419104869955772,0.004419104869955772,0.4265927977839335,3937,3937,0.6212535870615559,0.6000000000000001,0.2,0.0,0.2
0.018034036068072135,0.0018034036068072135,0.018034036068072135,0.00766387972270567,0.0046487132656805,0.0046487132656805,0.37534626038781166,3937,3937,0.7498001451675425,0.2,0.6000000000000001,0.2,0.0
0.017526035052070104,0.0017526035052070105,0.017526035052070104,0.0074037405578685775,0.0045070979030846945,0.0045070979030846945,0.3718836565096953,3937,3937,0.6943797422086074,0.4,0.4,0.2,0.0
0.01651003302006604,0.001651003302006604,0.01651003302006604,0.007283939738916558,0.004567271832956364,0.004567271832956364,0.33587257617728533,3937,3937,0.8252566061417138,0.0,1.0,0.0,0.0
0.018034036068072135,0.0018034036068072135,0.018034036068072135,0.006940939051778691,0.003693086751252867,0.003693086751252867,0.39681440443213295,3937,3937,0.4607443859531565,0.8,0.0,0.2,0.0
0.01651003302006604,0.001651003302006604,0.01651003302006604,0.0066718857104927105,0.003777451205696062,0.003777451205696062,0.3767313019390582,3937,3937,0.5991222516726467,0.6000000000000001,0.2,0.2,0.0
0.010414020828041656,0.0010414020828041655,0.010414020828041656,0.005162371158080866,0.0035776777902762156,0.0035776777902762156,0.14473684210526316,3937,3937,0.6599763363640282,0.2,0.8,0.0,0.0
0.01016002032004064,0.001016002032004064,0.01016002032004064,0.005095480060259826,0.0036024730779620293,0.0036024730779620293,0.139196675900277,3937,3937,0.6091108538901835,0.4,0.6000000000000001,0.0,0.0
0.012446024892049785,0.0012446024892049784,0.012446024892049785,0.004817101112965269,0.002623865565191448,0.002623865565191448,0.17105263157894737,3937,3937,0.30759182300665266,1.0,0.0,0.0,0.0
0.00889001778003556,0.000889001778003556,0.00889001778003556,0.004510049528363099,0.0032035310102366235,0.0032035310102366235,0.13157894736842105,3937,3937,0.5373516314719899,0.6000000000000001,0.4,0.0,0.0
0.007874015748031496,0.0007874015748031496,0.007874015748031496,0.003519028276066303,0.0021962980433897377,0.0021962980433897377,0.12465373961218837,3937,3937,0.42433429421770796,0.8,0.2,0.0,0.0
